id,barcode,toothpasteName,imageUrl,manufacturer,importer,distributor,toothpasteType,ingredients,ageGroup,labelWarnings,containsFluoride,fluorideAmountLabeled,fluorideAmount,benefits,
11,,ยาสีฟันคอลเกต รุ่น เกลือ เซนซิทีฟ รีลีฟ,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture11.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,,ไม่ระบุ,,1,,,,
12,,ยาสีฟันคอลเกต รุ่น เกลือ กัม โพรเทค,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture12.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,,ไม่ระบุ,,1,,,,
13,8850006942031,ยาสีฟันคอลเกต รุ่น แมกซ์เฟรช สูตรมินท์ เย็นซ่า,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture13.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Sorbitol, Water, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, PEG-12, Cellulose Gum, Cocamidopropyl Betaine, Sodium Saccharin, Sodium Fluoride, Hydroxypropyl Methylcellulose, Mentol, Acid Yellow 3 Aluminium Lake (CI47005:1), CI74260",ไม่ระบุ,"มีสาร Sodium Fluoride, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,ป้องกันฟันผุ,
14,8850006942024,ยาสีฟันคอลเกต รุ่น แมกซ์เฟรช สูตรเปเปอร์มินท์ ไอซ์,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture14.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Sorbitol, Water, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, PEG-12, Cellulose Gum, Cocamidopropyl Betaine, Sodium Saccharin, Sodium Fluoride, Hydroxypropyl Methylcellulose, Mentol,  CI74160",ไม่ระบุ,"มีสาร Sodium Fluoride, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,ป้องกันฟันผุ,
15,7891024123973,ยาสีฟันคอลเกต รุ่น เซนซิทีฟ โปรรีลีฟ ไวท์เทนนิ่ง,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture15.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Calcium Carbonate, Water, Sorbitol, Arginine Bicarbonate, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Sodium Monofluorophosphate, Sodium Bicarbonate, Tetrasodium Pyrophosphate, CI77891, Benzyl Alcohol, Sodium Saccharin, Xanthan Gum",ไม่ระบุ,"มีสาร Sodium Fluorophosphate, การเสียวฟันอาจบ่งชี้ถึงปัญหาอื่นๆ ในช่องปาก ควรพบทันตแพทย์หากการเสียวฟันไม่ดีขึ้น, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,"ลดอาการเสียวฟัน, ทำให้ฟันขาว",
16,7891024123447,ยาสีฟันคอลเกต รุ่น เซนซิทีฟ โปรรีลีฟ ออริจินัล,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture16.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Calcium Carbonate, Water, Sorbitol, Arginine Bicarbonate, Sodium Lauryl Sulfate, Flavor, Sodium Monofluorophosphate, Cellulose Gum, Sodium Bicarbonate, Tetrasodium Pyrophosphate, Benzyl Alcohol, Sodium Saccharin, Xanthan Gum, CI77891",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, การเสียวฟันอาจบ่งชี้ถึงปัญหาอื่นๆ ในช่องปาก ควรพบทันตแพทย์หากการเสียวฟันไม่ดีขึ้น, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,ลดอาการเสียวฟัน,
17,8850006327647,ยาสีฟันคอลเกต รุ่น เซนซิทีฟ โปรรีลีฟ คอมพลีท โปรเทคชั่น,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture17.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Calcium Carbonate, Water, Sorbitol, Arginine Bicarbonate, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Sodium Monofluorophophate, Sodium Bicarbonate, Tetrasodium Pyrophophate, CI77891, Benzyl Alcohol, Sodium Saccharin, Xanthan Gum ",ไม่ระบุ,"มีสาร Sodium Fluorophosphate, การเสียวฟันอาจบ่งชี้ถึงปัญหาอื่นๆ ในช่องปาก ควรพบทันตแพทย์หากการเสียวฟันไม่ดีขึ้น, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,"ลดอาการเสียวฟัน, ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
18,8901314309488,ยาสีฟันคอลเกต รุ่น เนเชอร์รัลส์ ปัญจเวท,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture18.png,บริษัท คอลเกต-ปาล์โอลีฟ (อินเดีย) จำกัด ,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันสมุนไพรผสมฟลูออไรด์,"Calcium Carbonate, Water, Sorbitol, Sodium Lauryl Sulfate, Hydrated Silica, Zinc Oxide, Sodium Silicate, Carrageenan, Sodium Monofluorophosphate, Eugenia Caryophyllus Oil, Flavor, Zinc Citrate, Sodium Bicarbonate, Mentha Arvensis Oil, Benzyl Alcohol, Potassium Nitrate, Sodium Saccharin, CI77492, Camphor, Emblica Officinalis Fruit Extract, CI77491, Azadirachta Indica Seed Oil, CI74160, Foeniculum Vulgare Oil, Honey Extract, Aloe Barbadensis Leaf Extract, Cinnamomum Zeylanicum Leaf Oil, Ocimum Basilicum Oil.",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,"ป้องกันฟันผุ, ลดการสะสมของแบคทีเรีย, ดูแลสุขภาพเหงือก",
19,8850006934715,ยาสีฟันคอลเกต รุ่น ปัญจเวทสมุนไพร ดีท็อกซ์,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture19.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันสมุนไพรผสมฟลูออไรด์,"Dicalcium Phosphate Dihydrate, Water, Sorbitol, Sodium Lauryl Sulfate, Flavor, Tetrasodium Pyrophosphate, Sodium Monofluorophosphate, Hydrated Silica, Carrageenan, Eugenia Caryophyllus (Clove) Leaf Oil, Xanthan Gum, Sodium Saccharin, Oleanolic Acid (Olive Leaves), Cocamidopropyl Betaine, Zingiber Officinale (Ginger) Root Oil, Ocimum Basilicum Oil, Azadirachta Indica (Neem) Seed Oil, Emblica Officinals (Indian Gooseberry) Fruit Extract, Honey Extract, Charcoal Powder, CI77492, CI74260",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,1,1450,"ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
20,8850006947029,ยาสีฟันคอลเกต รุ่น ดีท็อกซ์ เซสตี้ ยูซุ,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture20.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันสมุนไพรผสมฟลูออไรด์,"Dicalcium Phosphate Dihydrate, Water, Sorbitol, Sodium Lauryl Sulfate, Flavor, Tetrasodium Pyrophosphate, Sodium Monofluorophosphate, Hydrated Silica, Carrageenan, Xanthan Gum, Sodium Saccharin, Oleanolic Acid, Cocamidopropyl Betaine, Eugenia Caryophyllus Leaf Oil, Zingiber Officinale (Ginger) Root Oil, Ocimum Basilicum Oil, Azadirachta Indica Seed Oil, Emblica Officinals Fruit Extract, Honey Extract, CI77492",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,1,1450,"ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
21,8850006943359,ยาสีฟันคอลเกต รุ่น สมุนไพร ดีท็อกซ์ สูตรเข้มข้น รส โอเรียนทัล มิ้นท์,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture21.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันสมุนไพรผสมฟลูออไรด์,"Dicalcium Phosphate Dihydrate, Water, Sorbitol, Flavor, Hydrated Silica, Sodium Lauryl Sulfate, Sodium Monofluorophosphate, Eugenia Caryophyllus (Clove) Leaf Oil, Tetrasodium Pyrophosphate, Carrageenan, Sodium Saccharin, Cocamidopropyl Betaine, Xanthan Gum, Zingiber Officinale (Ginger) Root Oil, Oleanolic Acid (Olive Leaves), Charcoal Powder, Ocimum Basilicum Oil, Azadirachta Indica (Neem) Seed Oil, Terminalia Chebula Extract, Dipotassium Glycyrrhizate, CI77492. CI74260",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,ลดการสะสมของแบคทีเรีย,
22,8850006943335,ยาสีฟันคอลเกต รุ่น สมุนไพร ดีท็อกซ์ สูตรเข้มข้น รสซิตรัส มิ้นท์,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture22.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันสมุนไพรผสมฟลูออไรด์,"Dicalcium Phosphate Dihydrate, Water, Sorbitol, Flavor, Hydrated Silica, Sodium Lauryl Sulfate, Sodium Monofluorophosphate, Eugenia Caryophyllus (Clove) Leaf Oil, Tetrasodium Pyrophosphate, Carrageenan, Sodium Saccharin, Cocamidopropyl Betaine, Xanthan Gum, Zingiber Officinale (Ginger) Root Oil, Oleanolic Acid (Olive Leaves), Charcoal Powder, Ocimum Basilicum Oil, Azadirachta Indica (Neem) Seed Oil, Terminalia Chebula Extract, Dipotassium Glycyrrhizate, CI77492. CI74260",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,ลดการสะสมของแบคทีเรีย,
23,8850006204283,ยาสีฟันคอลเกต รุ่น สดชื่นเย็นซ่า,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture23.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Dicalcium Phosphate Dihydrate, Water, Sorbitol, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Sodium Monofluorophosphate, Sodium Saccharin, Tetrasodium Pyrophosphate, Sodium Fluoride",ไม่ระบุ,"มีสาร Sodium Fluorophosphate และ Sodium Fluoride, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,1,1450,ป้องกันฟันผุ,
